column,type,trained,metric_primary,metric_secondary,fallback
Iron_Iron,regression,True,mse=4.05186,r2=0.8502,none
Potassium,regression,True,mse=137361.19459,r2=0.9389,none
Vitamin_C,regression,True,mse=7278.99181,r2=0.5623,none
Carotene,regression,True,mse=4624624.62934,r2=0.5419,none
Vitamin_D,regression,True,mse=2.28493,r2=0.8168,none
Magnesium,regression,True,mse=1471.57836,r2=0.9081,none
Vitamin_B12,regression,True,mse=5.88117,r2=0.8119,none
Vitamin_E,regression,True,mse=6.29204,r2=0.7832,none
Starch,regression,True,mse=167.00839,r2=0.9470,none
Calcium,regression,True,mse=30679.32814,r2=0.8555,none
Saturated_Fat,regression,True,mse=11.78611,r2=0.9532,none
Total_Sugars,regression,True,mse=183.39533,r2=0.9492,none
Polyunsaturated_Fat,regression,True,mse=7.23715,r2=0.9111,none
Fat,regression,True,mse=28.71385,r2=0.9789,none
Vitamin_B6,regression,True,mse=0.10019,r2=0.8677,none
Englyst_Fibre,regression,True,mse=11.03254,r2=0.8089,none
Vitamin_User,regression,True,mse=0.08917,r2=0.6308,none
Bread_Consumed,regression,True,mse=0.08354,r2=0.3368,none
Spent_Doing_Light_Physical_Activity,regression,True,mse=0.05829,r2=0.0683,none
Portion_Size,regression,True,mse=0.06970,r2=0.0648,none
Typical_Diet_Yesterday,regression,True,mse=0.13465,r2=0.1069,none
Tea_Consumed,regression,True,mse=0.05722,r2=0.6469,none
Breakfast_Consumed,regression,True,mse=0.07511,r2=0.6729,none
Non_Alcoholic_Drinks,regression,True,mse=0.07657,r2=0.3486,none
Alcohol_Consumed,regression,True,mse=0.00033,r2=0.9987,none
Spent_Doing_Vigorous_Physical_Activity,regression,True,mse=0.19698,r2=0.2047,none
Starchy_Consumers,regression,True,mse=0.13371,r2=0.3293,none
Soup_Consumers,regression,True,mse=0.10607,r2=0.1133,none
Savoury_Consumers,regression,True,mse=0.17472,r2=0.2513,none
Cheese_Consumers,regression,True,mse=0.16514,r2=0.3291,none
Fish_Consumer,regression,True,mse=0.06765,r2=0.6731,none
Meat_Consumers,regression,True,mse=0.08056,r2=0.6246,none
Egg_Consumers,regression,True,mse=0.09082,r2=0.4468,none
Coffee_Consumed,regression,True,mse=0.08438,r2=0.6113,none
Ice_Cream_Consumers,regression,True,mse=0.18249,r2=0.2361,none
Dessert_Consumers,regression,True,mse=0.16362,r2=0.2443,none
