"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.41544,-0.053901,0.17714,2.2083e-20,1.2775,0.20241,0
-0.42007,-0.064052,0.16635,1.9482e-20,1.3568,0.21499,0
-0.42605,-0.072966,0.14823,5.8879e-20,1.4391,0.22804,0
-0.43323,-0.080276,0.1252,2.2754e-20,1.5244,0.24158,0
-0.44135,-0.085622,0.098017,-2.684e-20,1.6129,0.25561,0
-0.45008,-0.088719,0.066563,-1.4481e-20,1.7047,0.27017,0
-0.45894,-0.089353,0.030423,1.4292e-20,1.7998,0.28527,0
-0.46731,-0.087382,-0.010758,-8.9935e-21,1.8985,0.30093,0
-0.47444,-0.082754,-0.057065,-6.7706e-20,2.0009,0.31718,0
-0.47946,-0.075512,-0.10822,-1.7841e-20,2.1071,0.33402,0
-0.48137,-0.065759,-0.16351,4.5858e-20,2.2173,0.35149,0
-0.4792,-0.053693,-0.22172,2.8232e-20,2.3315,0.36961,0
-0.47208,-0.039704,-0.2811,-3.4701e-20,2.45,0.38841,0
-0.45955,-0.024564,-0.33938,4.6263e-20,2.5728,0.4079,0
-0.44151,-0.0094348,-0.39385,1.4277e-19,2.7003,0.42812,0
-0.41535,0.007259,-0.44113,7.4848e-20,2.8324,0.44909,0
-0.38379,0.016532,-0.48121,9.708e-21,2.9695,0.47083,0
-0.42692,-0.022384,0.10123,-2.8376e-20,1.0399,0.24968,0
-0.42692,0,0,0,0.97237,0.23345,0
-0.42745,-0.035393,0.15781,-1.0819e-20,1.11,0.26651,0
-0.42927,-0.043238,0.18364,1.6874e-20,1.1826,0.28397,0
-0.43272,-0.047901,0.18858,2.3228e-20,1.258,0.30208,0
-0.43796,-0.050114,0.18016,1.7112e-20,1.3362,0.32087,0
-0.44489,-0.049999,0.16335,-1.2378e-21,1.4172,0.34035,0
-0.45332,-0.047366,0.14086,-1.4266e-20,1.5013,0.36055,0
-0.46294,-0.041918,0.11374,1.1236e-20,1.5885,0.38151,0
-0.47334,-0.033389,0.082126,2.6783e-20,1.6789,0.40324,0
-0.48396,-0.021596,0.045789,3.6794e-20,1.7727,0.42578,0
-0.49405,-0.0064512,0.0044732,-3.058e-20,1.87,0.44916,0
-0.5027,0.012049,-0.041873,-4.1068e-20,1.9709,0.47341,0
-0.50882,0.033814,-0.092967,3.8442e-20,2.0756,0.49856,0
-0.51117,0.058622,-0.14809,2.5742e-20,2.1841,0.52464,0
-0.50846,0.086077,-0.20596,3.1657e-20,2.2967,0.55169,0
-0.49956,0.11548,-0.26469,-1.6664e-20,2.4134,0.57975,0
-0.48374,0.14561,-0.32184,-5.5987e-20,2.5345,0.60885,0
-0.46078,0.17452,-0.3745,8.9502e-20,2.6601,0.63903,0
-0.4279,0.2044,-0.41796,1.7047e-19,2.7904,0.67033,0
-0.38934,0.22228,-0.45116,7.3916e-20,2.9255,0.70279,0
-0.44274,-0.026098,0.096243,-2.8162e-20,1.0172,0.33051,0
-0.4434,0,0,0,0.95106,0.30902,0
-0.44225,-0.038739,0.15341,-3.4168e-20,1.0857,0.35279,0
-0.44355,-0.042241,0.18222,-4.8643e-21,1.1568,0.37591,0
-0.44677,-0.04,0.19042,-1.0666e-21,1.2306,0.39989,0
-0.45201,-0.033509,0.18458,-2.4371e-20,1.3071,0.42475,0
-0.45918,-0.023315,0.16945,-1.3486e-20,1.3864,0.45054,0
-0.46805,-0.0094849,0.14789,3.8072e-20,1.4687,0.47729,0
-0.47827,0.0081458,0.12124,2.5988e-20,1.5541,0.50503,0
-0.48936,0.029792,0.089933,-2.848e-21,1.6426,0.5338,0
-0.50065,0.055617,0.053948,1.7921e-20,1.7344,0.56364,0
-0.51132,0.085708,0.013166,-2.8378e-20,1.8296,0.59459,0
-0.52031,0.12009,-0.032421,-2.1483e-20,1.9283,0.62669,0
-0.52634,0.15868,-0.082529,1.9672e-20,2.0308,0.65999,0
-0.52797,0.2011,-0.13639,-7.2771e-21,2.137,0.69452,0
-0.52371,0.24659,-0.19258,2.1676e-21,2.2472,0.73033,0
-0.51222,0.29382,-0.24899,-1.4388e-20,2.3614,0.76747,0
-0.4926,0.34088,-0.30295,-8.9847e-20,2.4799,0.80599,0
-0.46451,0.38518,-0.35148,6.8986e-20,2.6029,0.84595,0
-0.42746,0.42821,-0.38986,1.7992e-19,2.7303,0.88739,0
-0.3862,0.45419,-0.41652,-2.9851e-20,2.8626,0.93037,0
-0.4557,-0.028284,0.086717,6.1307e-22,0.98812,0.40929,0
-0.45695,0,0,0,0.92388,0.38268,0
-0.45419,-0.040357,0.14135,-1.5384e-20,1.0547,0.43689,0
-0.45467,-0.039836,0.17131,-1.8288e-20,1.1238,0.46551,0
-0.45718,-0.030916,0.18189,-2.0681e-20,1.1955,0.49519,0
-0.46178,-0.015662,0.1784,-2.2595e-20,1.2698,0.52598,0
-0.46844,0.004959,0.16508,2.1415e-20,1.3469,0.55791,0
-0.47694,0.03057,0.14475,3.7158e-20,1.4269,0.59103,0
